Cycle_Index,Discharge_Capacity
1.0,1.0773673
2.0,1.0799223
3.0,1.0813154
4.0,1.082234
5.0,1.0827312
6.0,1.0830303
7.0,1.0833386
8.0,1.083684
9.0,1.0837147
10.0,1.0837817
11.0,1.0839587
12.0,1.0880535
13.0,1.0858102
14.0,1.0857648
15.0,1.0855526
16.0,1.0855418
17.0,1.085543
18.0,1.0856423
19.0,1.0855848
20.0,1.0855571
21.0,1.0855353
22.0,1.0855669
23.0,1.0855838
24.0,1.0857264
25.0,1.0858061
26.0,1.0858525
27.0,1.0858128
28.0,1.0857804
29.0,1.0857626
30.0,1.0857949
31.0,1.0858704
32.0,1.0857939
33.0,1.0858334
34.0,1.0858121
35.0,1.085746
36.0,1.0857704
37.0,1.0857365
38.0,1.0857095
39.0,1.0857694
40.0,1.0857872
41.0,1.0858465
42.0,1.0858839
43.0,1.0858977
44.0,1.0859399
45.0,1.0860239
46.0,1.0859478
47.0,1.085932
48.0,1.0860084
49.0,1.0858871
50.0,1.0858485
51.0,1.085833
52.0,1.0857935
53.0,1.0857363
54.0,1.0857573
55.0,1.0857081
56.0,1.0857319
57.0,1.0858471
58.0,1.0858817
59.0,1.0858759
60.0,1.0859101
61.0,1.0858313
62.0,1.0857759
63.0,1.0857108
64.0,1.085923
65.0,1.086134
66.0,1.0862314
67.0,1.0862148
68.0,1.0856748
69.0,1.08556
70.0,1.0855246
71.0,1.0855196
72.0,1.0856328
73.0,1.0856695
74.0,1.0857404
75.0,1.0856586
76.0,1.0856991
77.0,1.0856384
78.0,1.0855706
79.0,1.0855303
80.0,1.0854447
81.0,1.0853778
82.0,1.0853372
83.0,1.085281
84.0,1.0851364
85.0,1.0851827
86.0,1.0851971
87.0,1.0852234
88.0,1.0852056
89.0,1.0852865
90.0,1.085299
91.0,1.0852487
92.0,1.0853715
93.0,1.0852418
94.0,1.0852273
95.0,1.0852255
96.0,1.08509
97.0,1.0851239
98.0,1.0850123
99.0,1.0849537
100.0,1.0849404
101.0,1.0849447
102.0,1.0849578
103.0,1.0849718
104.0,1.084981
105.0,1.0851059
106.0,1.0849565
107.0,1.0849079
108.0,1.0848944
109.0,1.0848737
110.0,1.0847815
111.0,1.0847218
112.0,1.084612
113.0,1.0845947
114.0,1.0845439
115.0,1.0844989
116.0,1.0845442
117.0,1.0845171
118.0,1.0844411
119.0,1.0844105
120.0,1.0845937
121.0,1.0846987
122.0,1.0846695
123.0,1.084641
124.0,1.0845835
125.0,1.0844946
126.0,1.0844939
127.0,1.0845144
128.0,1.0844651
129.0,1.0844644
130.0,1.0844282
131.0,1.0844687
132.0,1.0844334
133.0,1.0843452
134.0,1.0841988
135.0,1.0842357
136.0,1.0841705
137.0,1.084155
138.0,1.0841643
139.0,1.0842218
140.0,1.0841625
141.0,1.0841635
142.0,1.0841109
143.0,1.0840343
144.0,1.0839545
145.0,1.0838717
146.0,1.0839056
147.0,1.0839182
148.0,1.0839571
149.0,1.0839593
150.0,1.0839598
151.0,1.0837967
152.0,1.0836318
153.0,1.0836512
154.0,1.083616
155.0,1.0836091
156.0,1.0835862
157.0,1.0835845
158.0,1.0835835
159.0,1.0836748
160.0,1.0836439
161.0,1.0836015
162.0,1.0836121
163.0,1.0835544
164.0,1.0834684
165.0,1.0834323
166.0,1.0833755
167.0,1.0832872
168.0,1.0832012
169.0,1.0832188
170.0,1.0832297
171.0,1.0832256
172.0,1.0834041
173.0,1.0834444
174.0,1.0833941
175.0,1.0832394
176.0,1.0831283
177.0,1.083111
178.0,1.0830775
179.0,1.0831956
180.0,1.0833586
181.0,1.0833983
182.0,1.0833951
183.0,1.0833685
184.0,1.0832517
185.0,1.0831751
186.0,1.082966
187.0,1.0830148
188.0,1.0830317
189.0,1.0829775
190.0,1.0829014
191.0,1.0828805
192.0,1.0828025
193.0,1.0827243
194.0,1.0826709
195.0,1.082625
196.0,1.0826198
197.0,1.0826597
198.0,1.0827546
199.0,1.082886
200.0,1.082866
201.0,1.0827211
202.0,1.0825498
203.0,1.0824825
204.0,1.0823528
205.0,1.0825661
206.0,1.0827576
207.0,1.0828853
208.0,1.0829602
209.0,1.0829967
210.0,1.0829171
211.0,1.0828224
212.0,1.0825667
213.0,1.0822521
214.0,1.0822057
215.0,1.0821924
216.0,1.0821195
217.0,1.0820826
218.0,1.082072
219.0,1.0820191
220.0,1.0819827
221.0,1.0819182
222.0,1.0819069
223.0,1.0819478
224.0,1.0819904
225.0,1.0821501
226.0,1.0822335
227.0,1.0820882
228.0,1.0819136
229.0,1.081772
230.0,1.0817499
231.0,1.0817292
232.0,1.0818614
233.0,1.081985
234.0,1.0820019
235.0,1.0819705
236.0,1.0819284
237.0,1.0818729
238.0,1.0817831
239.0,1.0815554
240.0,1.081557
241.0,1.0815039
242.0,1.0814655
243.0,1.0814321
244.0,1.0813533
245.0,1.0812635
246.0,1.0811942
247.0,1.0811816
248.0,1.0811607
249.0,1.0811775
250.0,1.0812087
251.0,1.0812902
252.0,1.081394
253.0,1.0813817
254.0,1.081237
255.0,1.0810921
256.0,1.0810554
257.0,1.0809911
258.0,1.0810324
259.0,1.0811806
260.0,1.0812634
261.0,1.081328
262.0,1.0812821
263.0,1.0812389
264.0,1.0811999
265.0,1.0810305
266.0,1.0808043
267.0,1.0808034
268.0,1.0807306
269.0,1.0806446
270.0,1.0806009
271.0,1.0805367
272.0,1.0804774
273.0,1.0804427
274.0,1.0803565
275.0,1.0803546
276.0,1.0802795
277.0,1.0803242
278.0,1.0804303
279.0,1.0804815
280.0,1.0803753
281.0,1.0803001
282.0,1.080274
283.0,1.0801617
284.0,1.0801622
285.0,1.0802788
286.0,1.0803787
287.0,1.0804796
288.0,1.0804931
289.0,1.0804921
290.0,1.0804945
291.0,1.0804992
292.0,1.0802017
293.0,1.0799431
294.0,1.0800202
295.0,1.0799611
296.0,1.0798849
297.0,1.0798502
298.0,1.0797974
299.0,1.0797426
300.0,1.0797074
301.0,1.0796536
302.0,1.0796152
303.0,1.0795829
304.0,1.0795734
305.0,1.0795425
306.0,1.0795106
307.0,1.0796015
308.0,1.0795869
309.0,1.0796043
310.0,1.0794106
311.0,1.0793735
312.0,1.0793947
313.0,1.0794339
314.0,1.0794876
315.0,1.0794756
316.0,1.0794482
317.0,1.0794613
318.0,1.0793372
319.0,1.0791411
320.0,1.0791093
321.0,1.0790737
322.0,1.0790309
323.0,1.0790122
324.0,1.0789998
325.0,1.0789577
326.0,1.0789431
327.0,1.0789583
328.0,1.0789254
329.0,1.078907
330.0,1.0792269
331.0,1.0796727
332.0,1.0798624
333.0,1.0797831
334.0,1.0797588
335.0,1.0796572
336.0,1.0796064
337.0,1.0798067
338.0,1.0800514
339.0,1.0802031
340.0,1.0803508
341.0,1.0804368
342.0,1.0804888
343.0,1.0804645
344.0,1.0804534
345.0,1.0801029
346.0,1.0797704
347.0,1.0795232
348.0,1.0793179
349.0,1.0792198
350.0,1.0791384
351.0,1.0790989
352.0,1.0790623
353.0,1.0790235
354.0,1.0790181
355.0,1.0789891
356.0,1.0789243
357.0,1.0789951
358.0,1.0790669
359.0,1.0789909
360.0,1.0788248
361.0,1.0787441
362.0,1.0786655
363.0,1.0786471
364.0,1.078869
365.0,1.0790184
366.0,1.0791409
367.0,1.0792208
368.0,1.0792735
369.0,1.0792698
370.0,1.0793127
371.0,1.0791715
372.0,1.0788926
373.0,1.0786905
374.0,1.0784998
375.0,1.0783615
376.0,1.0782696
377.0,1.0782193
378.0,1.0781486
379.0,1.0781941
380.0,1.0781721
381.0,1.0781236
382.0,1.0781115
383.0,1.0781264
384.0,1.0782268
385.0,1.0781873
386.0,1.0781057
387.0,1.0779345
388.0,1.0778304
389.0,1.0777211
390.0,1.0778693
391.0,1.0780573
392.0,1.0782228
393.0,1.0783082
394.0,1.0784098
395.0,1.0784452
396.0,1.0784394
397.0,1.078418
398.0,1.0781161
399.0,1.0778599
400.0,1.0776757
401.0,1.0775154
402.0,1.077435
403.0,1.0773478
404.0,1.0773003
405.0,1.0772712
406.0,1.0772387
407.0,1.0772605
408.0,1.0772508
409.0,1.0772288
410.0,1.0773697
411.0,1.0774386
412.0,1.0773662
413.0,1.0772254
414.0,1.0770916
415.0,1.0769926
416.0,1.0769438
417.0,1.0771328
418.0,1.0773152
419.0,1.0774344
420.0,1.0774941
421.0,1.0775131
422.0,1.0774316
423.0,1.0774074
424.0,1.0771635
425.0,1.0769451
426.0,1.076761
427.0,1.0765847
428.0,1.076472
429.0,1.0764322
430.0,1.0763853
431.0,1.0763484
432.0,1.0763351
433.0,1.0763147
434.0,1.0763103
435.0,1.0762957
436.0,1.0763397
437.0,1.0764672
438.0,1.0764256
439.0,1.0762469
440.0,1.0761455
441.0,1.0760616
442.0,1.0760143
443.0,1.0761213
444.0,1.076252
445.0,1.0763233
446.0,1.0763732
447.0,1.0761567
448.0,1.0763611
449.0,1.0763779
450.0,1.0763863
451.0,1.0761533
452.0,1.0759333
453.0,1.0757965
454.0,1.0756837
455.0,1.075597
456.0,1.0755435
457.0,1.0755167
458.0,1.0754862
459.0,1.0754229
460.0,1.0753751
461.0,1.0753145
462.0,1.0752944
463.0,1.0752643
464.0,1.0752257
465.0,1.075182
466.0,1.0751038
467.0,1.0750637
468.0,1.0749959
469.0,1.0750818
470.0,1.0753161
471.0,1.0755494
472.0,1.0757025
473.0,1.07585
474.0,1.0759128
475.0,1.0759536
476.0,1.075955
477.0,1.0757469
478.0,1.0753821
479.0,1.0751169
480.0,1.0748576
481.0,1.0747756
482.0,1.0747006
483.0,1.0743852
484.0,1.0737654
485.0,1.0724604
486.0,1.0706861
487.0,1.0744799
488.0,1.0720251
489.0,1.0729429
490.0,1.0731013
491.0,1.0731936
492.0,1.0732886
493.0,1.0732744
494.0,1.0731803
495.0,1.0730234
496.0,1.0730793
497.0,1.0731853
498.0,1.0732666
499.0,1.0733747
500.0,1.0733953
501.0,1.0734295
502.0,1.0734336
503.0,1.0734513
504.0,1.0731754
505.0,1.0729102
506.0,1.0727164
507.0,1.0726835
508.0,1.0726323
509.0,1.0725625
510.0,1.07251
511.0,1.072457
512.0,1.0724584
513.0,1.0724345
514.0,1.0724052
515.0,1.0724219
516.0,1.0723759
517.0,1.0724057
518.0,1.0722766
519.0,1.0724707
520.0,1.0723923
521.0,1.0723287
522.0,1.0721771
523.0,1.072204
524.0,1.0723003
525.0,1.072383
526.0,1.0723447
527.0,1.0723597
528.0,1.072261
529.0,1.0722421
530.0,1.0720388
531.0,1.0718426
532.0,1.0719041
533.0,1.0719225
534.0,1.0718274
535.0,1.071757
536.0,1.0717024
537.0,1.071584
538.0,1.0714897
539.0,1.0714589
540.0,1.071403
541.0,1.0713975
542.0,1.0713767
543.0,1.0714346
544.0,1.071378
545.0,1.0712943
546.0,1.0713217
547.0,1.0713093
548.0,1.0711744
549.0,1.0711426
550.0,1.0713352
551.0,1.071498
552.0,1.0715642
553.0,1.0715699
554.0,1.0716435
555.0,1.0715597
556.0,1.0715399
557.0,1.0712247
558.0,1.0708642
559.0,1.0709269
560.0,1.0707638
561.0,1.0706429
562.0,1.0706286
563.0,1.0705709
564.0,1.0705581
565.0,1.0705023
566.0,1.0704792
567.0,1.0704843
568.0,1.070406
569.0,1.070323
570.0,1.0703973
571.0,1.070086
572.0,1.0703669
573.0,1.0704504
574.0,1.0703973
575.0,1.0701541
576.0,1.070233
577.0,1.0703627
578.0,1.0704665
579.0,1.0705111
580.0,1.0704612
