Cycle_Index,Discharge_Capacity
1.0,1.0507991
2.0,1.0537786
3.0,1.0550324
4.0,1.0558786
5.0,1.0564448
6.0,1.0570793
7.0,1.0575227
8.0,1.0577066
9.0,1.0579443
10.0,1.0581003
11.0,1.0582161
12.0,1.063239
13.0,1.0546725
14.0,1.0581912
15.0,1.0592513
16.0,1.0594341
17.0,1.0597637
18.0,1.0598733
19.0,1.0600343
20.0,1.0601169
21.0,1.060204
22.0,1.0603255
23.0,1.0603709
24.0,1.060411
25.0,1.0604973
26.0,1.0605817
27.0,1.0606208
28.0,1.0606647
29.0,1.0605912
30.0,1.0606567
31.0,1.0607418
32.0,1.0607618
33.0,1.0607289
34.0,1.0608156
35.0,1.0607839
36.0,1.060778
37.0,1.0608572
38.0,1.0607986
39.0,1.0607476
40.0,1.0607281
41.0,1.0607802
42.0,1.0608294
43.0,1.0607998
44.0,1.0608656
45.0,1.0608354
46.0,1.0608411
47.0,1.0608016
48.0,1.0607896
49.0,1.0607409
50.0,1.0607976
51.0,1.0608244
52.0,1.0608104
53.0,1.0608605
54.0,1.0608684
55.0,1.0608323
56.0,1.060842
57.0,1.0608374
58.0,1.0607977
59.0,1.0608158
60.0,1.0607756
61.0,1.0608081
62.0,1.0608056
63.0,1.0607936
64.0,1.0607446
65.0,1.0607895
66.0,1.0609766
67.0,1.0612326
68.0,1.0613045
69.0,1.0613277
70.0,1.0609633
71.0,1.0606472
72.0,1.0606213
73.0,1.0605559
74.0,1.0605737
75.0,1.0605042
76.0,1.0604928
77.0,1.060475
78.0,1.0604627
79.0,1.0604252
80.0,1.0603856
81.0,1.0603554
82.0,1.06032
83.0,1.0602574
84.0,1.0602065
85.0,1.0602627
86.0,1.0602075
87.0,1.0601398
88.0,1.0601214
89.0,1.060102
90.0,1.0600952
91.0,1.0600435
92.0,1.060059
93.0,1.0600466
94.0,1.0600255
95.0,1.0599967
96.0,1.060007
97.0,1.0599943
98.0,1.0599643
99.0,1.0599473
100.0,1.0599719
101.0,1.0599171
102.0,1.059845
103.0,1.0597979
104.0,1.0598119
105.0,1.0597833
106.0,1.0597571
107.0,1.05975
108.0,1.0597739
109.0,1.0597341
110.0,1.0596957
111.0,1.0596286
112.0,1.0596083
113.0,1.0595274
114.0,1.0595298
115.0,1.0594072
116.0,1.0594333
117.0,1.0593947
118.0,1.0593343
119.0,1.0592885
120.0,1.0592692
121.0,1.0592035
122.0,1.0590994
123.0,1.0590785
124.0,1.0590746
125.0,1.0590516
126.0,1.0589752
127.0,1.0589889
128.0,1.0589874
129.0,1.0588768
130.0,1.0588459
131.0,1.0587748
132.0,1.0587825
133.0,1.058798
134.0,1.058768
135.0,1.058736
136.0,1.058728
137.0,1.0587127
138.0,1.0586232
139.0,1.0585592
140.0,1.0585274
141.0,1.0584555
142.0,1.0584464
143.0,1.0583801
144.0,1.0583593
145.0,1.0582914
146.0,1.0582305
147.0,1.0581789
148.0,1.0581229
149.0,1.0580816
150.0,1.0580128
151.0,1.0579938
152.0,1.057956
153.0,1.0579698
154.0,1.0579575
155.0,1.0579307
156.0,1.057843
157.0,1.0577753
158.0,1.057735
159.0,1.0577116
160.0,1.0576727
161.0,1.0576324
162.0,1.0575669
163.0,1.0574558
164.0,1.0574912
165.0,1.0575016
166.0,1.0574424
167.0,1.0573931
168.0,1.0573415
169.0,1.0573112
170.0,1.0572679
171.0,1.0571779
172.0,1.0571475
173.0,1.0570463
174.0,1.0569781
175.0,1.0569597
176.0,1.0569324
177.0,1.0569991
178.0,1.057133
179.0,1.057125
180.0,1.0570842
181.0,1.0568938
182.0,1.0567371
183.0,1.0566679
184.0,1.0565971
185.0,1.0567031
186.0,1.0568118
187.0,1.0568588
188.0,1.0568622
189.0,1.056767
190.0,1.0566835
191.0,1.0566065
192.0,1.0563955
193.0,1.0562459
194.0,1.0562128
195.0,1.0561677
196.0,1.0561092
197.0,1.0560602
198.0,1.0560333
199.0,1.0559299
200.0,1.055871
201.0,1.0557829
202.0,1.0557613
203.0,1.0557337
204.0,1.0557574
205.0,1.0558652
206.0,1.0559565
207.0,1.0559237
208.0,1.0557745
209.0,1.0556285
210.0,1.055505
211.0,1.0554293
212.0,1.0555768
213.0,1.0557637
214.0,1.0558492
215.0,1.0558803
216.0,1.0558655
217.0,1.0558038
218.0,1.0557016
219.0,1.0555491
220.0,1.0552353
221.0,1.0550586
222.0,1.054971
223.0,1.0549352
224.0,1.0548812
225.0,1.0548015
226.0,1.0547603
227.0,1.0547147
228.0,1.0546286
229.0,1.0546325
230.0,1.0546463
231.0,1.054635
232.0,1.0547011
233.0,1.0548093
234.0,1.0547936
235.0,1.0546045
236.0,1.0543847
237.0,1.0542611
238.0,1.0541687
239.0,1.0541649
240.0,1.0542574
241.0,1.0543637
242.0,1.0544047
243.0,1.0543189
244.0,1.0542983
245.0,1.0542499
246.0,1.0541567
247.0,1.0539122
248.0,1.0537807
249.0,1.0537117
250.0,1.0536506
251.0,1.0535825
252.0,1.0535216
253.0,1.0534616
254.0,1.0533801
255.0,1.0533315
256.0,1.053303
257.0,1.0532929
258.0,1.0532457
259.0,1.0532529
260.0,1.0533668
261.0,1.0534377
262.0,1.0532857
263.0,1.0531065
264.0,1.0529232
265.0,1.0528733
266.0,1.052654
267.0,1.0528977
268.0,1.0529999
269.0,1.0530492
270.0,1.0529584
271.0,1.0529888
272.0,1.0529418
