Cycle_Index,Discharge_Capacity
1,1.0750394
2,1.0777475
3,1.0790652
4,1.0796903
5,1.0801463
6,1.0804075
7,1.0805956
8,1.0807317
9,1.0808195
10,1.0809715
11,1.0810122
12,1.0809609
13,1.0810313
14,1.0809838
15,1.0809973
16,1.0810999
17,1.0811108
18,1.0810974
19,1.0811632
20,1.0812205
21,1.0811813
22,1.0811784
23,1.0811744
24,1.0811247
25,1.0812141
26,1.0811888
27,1.0811576
28,1.0811551
29,1.0811859
30,1.0811901
31,1.0812165
32,1.0811845
33,1.0811294
34,1.0811316
35,1.0811387
36,1.0811398
37,1.0811166
38,1.0811226
39,1.0810956
40,1.0811094
41,1.0810697
42,1.0809979
43,1.0809548
44,1.0810108
45,1.0810082
46,1.0809962
47,1.0809706
48,1.0809727
49,1.080978
50,1.0809796
51,1.0812129
52,1.0813982
53,1.0815059
54,1.0815945
55,1.0814849
56,1.0809635
57,1.0808893
58,1.0808935
59,1.0808771
60,1.0808597
61,1.0808375
62,1.0808578
63,1.0808728
64,1.0808434
65,1.0808076
66,1.0807914
67,1.0807716
68,1.0807241
69,1.0806849
70,1.0806451
71,1.0806307
72,1.0805783
73,1.0805414
74,1.0805057
75,1.0804965
76,1.0804847
77,1.0804739
78,1.0804759
79,1.0804443
80,1.0803918
81,1.080386
82,1.0803308
83,1.0803319
84,1.0802881
85,1.0802213
86,1.0801822
87,1.0800933
88,1.0800555
89,1.0800238
90,1.0799724
91,1.07998
92,1.0799719
93,1.0799658
94,1.079885
95,1.0798992
96,1.079868
97,1.0797814
98,1.0797493
99,1.0797218
100,1.0796947
101,1.0796309
102,1.0796014
103,1.0795598
104,1.0795629
105,1.0795171
106,1.0794938
107,1.0794339
108,1.0793372
109,1.0793765
110,1.0794117
111,1.079375
112,1.0793829
113,1.0793551
114,1.0793475
115,1.0780524
116,1.0791588
117,1.0791451
118,1.0791582
119,1.0791241
120,1.0791224
121,1.079073
122,1.0790917
123,1.079079
124,1.0790261
125,1.0789355
126,1.0788746
127,1.078828
128,1.0788215
129,1.0787641
130,1.0787458
131,1.0787013
132,1.0786896
133,1.0785933
134,1.0785197
135,1.0784431
136,1.0784297
137,1.0783888
138,1.0783664
139,1.0783762
140,1.0783527
141,1.0783236
142,1.0782676
143,1.0781949
144,1.0781691
145,1.0768826
146,1.0780898
147,1.0780655
148,1.0780265
149,1.0779501
150,1.07794
151,1.077886
152,1.0778903
153,1.0778451
154,1.0778261
155,1.0777755
156,1.0777293
157,1.0776793
158,1.077635
159,1.0775717
160,1.0775348
161,1.0774988
162,1.0774392
163,1.0774457
164,1.0775435
165,1.0776136
166,1.0776677
167,1.0775005
168,1.0773367
169,1.0772163
170,1.0770992
171,1.0770807
172,1.0772829
173,1.0774206
174,1.077379
175,1.0774412
176,1.0773765
177,1.0772343
178,1.0771432
179,1.0768747
180,1.0767962
181,1.0767248
182,1.0766398
183,1.0766046
184,1.0765396
185,1.0765263
186,1.0763984
187,1.0763805
188,1.0763036
189,1.0762596
190,1.076265
191,1.0762773
192,1.0763625
193,1.076475
194,1.0764142
195,1.0762652
196,1.0760905
197,1.0759653
198,1.0758705
199,1.0760281
200,1.0762458
201,1.0763109
202,1.0763564
203,1.0763423
204,1.0762819
205,1.0762112
206,1.0760756
207,1.0757058
208,1.0754399
209,1.0754473
210,1.0753096
211,1.0753001
212,1.0752257
213,1.075157
214,1.0751191
215,1.0750785
216,1.07503
217,1.0750481
218,1.0750412
219,1.0751047
220,1.0752113
221,1.0752813
222,1.0751795
223,1.0749228
224,1.074747
225,1.0746478
226,1.0746171
227,1.0747067
228,1.0747415
229,1.0748372
230,1.0747784
231,1.0747792
232,1.0747161
233,1.0746505
234,1.0745056
235,1.0742264
236,1.0729344
237,1.0740961
238,1.0740653
239,1.0739655
240,1.0739079
241,1.0738316
242,1.07373
243,1.0737011
244,1.07365
245,1.0736613
246,1.0736538
247,1.0736758
248,1.073765
249,1.0737213
250,1.0736338
251,1.0734665
252,1.0732037
253,1.0732031
254,1.0731602
255,1.0731535
256,1.0733331
257,1.0733773
258,1.0732287
259,1.0733461
260,1.0732284
261,1.0732421
262,1.0730443
263,1.0727633
264,1.0726964
265,1.0726198
266,1.0725502
267,1.0725355
268,1.0724108
269,1.0722408
270,1.072256
271,1.072058
272,1.0716293
273,1.0720667
274,1.0720428
275,1.0720789
276,1.0721363
277,1.0718966
278,1.0719502
279,1.0718305
280,1.0714754
281,1.0716834
282,1.0716518
283,1.0717078
284,1.0717659
285,1.0716401
286,1.0718472
287,1.0717615
288,1.0716524
289,1.0718131
290,1.0716596
291,1.0708179
292,1.0710768
293,1.0705619
294,1.070899
295,1.0708256
296,1.0705321
297,1.0695348
298,1.070565
299,1.0706283
300,1.0704604
301,1.0703325
302,1.0702288
303,1.0703826
304,1.0703516
305,1.0700183
306,1.0702847
307,1.0701879
308,1.0698149
309,1.0700932
310,1.0698617
311,1.0700051
312,1.0698162
313,1.0697581
314,1.0695709
315,1.0696084
316,1.0698729
317,1.0698714
318,1.0695387
319,1.0693821
320,1.0694264
321,1.0693214
322,1.0692955
323,1.0692289
324,1.0688767
325,1.0690721
326,1.0689986
327,1.0689737
328,1.0689681
329,1.0689087
330,1.0688702
331,1.069008
332,1.0694202
333,1.0696117
334,1.0691656
335,1.0693382
336,1.0691043
337,1.0691643
338,1.0692312
339,1.0689514
340,1.0691614
341,1.0693623
342,1.0694898
343,1.0699191
344,1.0696324
345,1.069446
346,1.069378
347,1.0690087
348,1.0687006
349,1.0684582
350,1.0684439
351,1.0678943
352,1.0678618
353,1.0676754
354,1.0673999
355,1.0675824
356,1.0678478
357,1.067508
358,1.0676106
359,1.0672188
360,1.0673678
361,1.0668411
362,1.0671532
363,1.0670371
364,1.0671837
365,1.0670468
366,1.0669632
367,1.0669067
368,1.0671248
369,1.0669452
370,1.0669991
371,1.0670875
372,1.0671626
373,1.067697
374,1.067106
375,1.066921
376,1.0669361
377,1.0665749
378,1.0665619
379,1.0661016
380,1.065745
381,1.0661436
382,1.0655694
383,1.0657647
384,1.0659058
385,1.0655152
386,1.0658573
387,1.065161
388,1.0652828
389,1.0652983
390,1.0655442
391,1.0652542
392,1.0654484
393,1.0650833
394,1.0650637
395,1.0645878
396,1.0649158
397,1.0651474
398,1.0652581
399,1.0650884
400,1.0650899
401,1.0648482
402,1.0651441
403,1.0650302
404,1.0646564
405,1.0641937
406,1.0643599
407,1.064335
408,1.0636402
409,1.0638325
410,1.0635607
411,1.0634295
412,1.0639384
413,1.063536
414,1.063436
415,1.0629857
416,1.063535
417,1.0637034
418,1.0630941
419,1.0629238
420,1.0628308
421,1.0612277
422,1.0626876
423,1.0621963
424,1.0623307
425,1.062838
426,1.0624425
427,1.0625161
428,1.0627358
429,1.0627565
430,1.0627235
431,1.0625596
432,1.0623511
433,1.0616823
434,1.0616215
435,1.0613333
436,1.0612962
437,1.0611491
438,1.0609705
439,1.0608578
440,1.060709
441,1.0605114
442,1.0606421
443,1.0608382
444,1.0602794
445,1.0607597
446,1.0609668
447,1.0602007
448,1.0604511
449,1.0601275
450,1.0600228
451,1.0597748
452,1.0595334
453,1.0600514
454,1.0599159
455,1.0601315
456,1.0600215
457,1.0601621
458,1.0597489
459,1.0599946
460,1.0598001
461,1.0594363
462,1.0591919
463,1.0594655
464,1.0584916
465,1.0588541
466,1.0579889
467,1.0581243
468,1.0581396
469,1.057974
470,1.0582197
471,1.0582197
472,1.0581182
473,1.0577863
474,1.0575914
475,1.057687
476,1.0575098
477,1.0578593
478,1.057707
479,1.0567678
480,1.0571599
481,1.0572629
482,1.057335
483,1.0571533
484,1.0573239
485,1.0580659
486,1.0578257
487,1.057794
488,1.0575899
489,1.0571648
490,1.0572102
491,1.0570105
492,1.0564352
493,1.0563558
494,1.0563401
495,1.0558124
496,1.0556453
497,1.0558375
498,1.0548722
499,1.0544842
500,1.0532306
501,1.053193
502,1.0541866
503,1.0539991
504,1.0542703
505,1.053894
506,1.0539111
507,1.0537763
508,1.0536327
509,1.0534856
510,1.0533881
511,1.0532175
512,1.0529109
513,1.0528901
514,1.0535095
515,1.0531642
516,1.0529006
517,1.0528657
518,1.053071
519,1.0529623
520,1.0521969
521,1.0523338
522,1.0521461
523,1.0519686
524,1.0515109
525,1.0517308
526,1.0510029
527,1.0514346
528,1.0512887
529,1.0513122
530,1.0511105
531,1.0507189
532,1.050127
533,1.0502093
534,1.0501763
535,1.0503019
536,1.0501841
537,1.0498437
538,1.0498912
539,1.0496593
540,1.0499002
541,1.049724
542,1.04952
543,1.0494071
544,1.0492923
545,1.0495396
546,1.0494955
547,1.0489684
548,1.0486592
549,1.048527
550,1.0483718
551,1.048148
552,1.0478164
553,1.047695
554,1.0474881
555,1.0473026
556,1.0469021
557,1.0471151
558,1.0465062
559,1.0466774
560,1.0468353
561,1.0465713
562,1.0465101
563,1.0462587
564,1.0461978
565,1.0455737
566,1.0454637
567,1.0446888
568,1.0449806
569,1.0450164
570,1.0449474
571,1.0450587
572,1.0450852
573,1.0445455
574,1.0445677
575,1.0448861
576,1.044651
577,1.0445971
578,1.0441623
579,1.0437093
580,1.0430685
581,1.0429087
582,1.0429095
583,1.0424377
584,1.042312
585,1.0422884
586,1.0419234
587,1.0419049
588,1.0415914
589,1.0412565
590,1.0412935
591,1.041024
592,1.0406507
593,1.0405555
594,1.0403265
595,1.0402845
596,1.0400496
597,1.0399356
598,1.0395652
599,1.0389862
600,1.0395499
601,1.0393808
602,1.039343
603,1.0391439
604,1.0391287
605,1.0386313
606,1.0383635
607,1.0374711
608,1.0372304
609,1.0371894
610,1.0364307
611,1.0364437
612,1.0360955
613,1.0363683
614,1.0357473
615,1.0355896
616,1.0355593
617,1.0351866
618,1.0349728
619,1.0347943
620,1.0344502
621,1.0346779
622,1.0339231
623,1.0337511
624,1.0335876
625,1.0335699
626,1.0330607
627,1.0326848
628,1.0319178
629,1.0318954
630,1.0317918
631,1.0317557
632,1.0310801
633,1.0310295
634,1.0310589
635,1.0308579
636,1.0301002
637,1.0297447
638,1.0294209
639,1.0293866
640,1.0290947
641,1.0286944
642,1.0280336
643,1.0280253
644,1.0278084
645,1.0271161
646,1.0269948
647,1.0265925
648,1.0261643
649,1.0258982
650,1.0254803
651,1.0255467
652,1.0249022
653,1.0243431
654,1.0242916
655,1.0235016
656,1.0231481
657,1.0228492
